"","KnowledgeAssessmentID","RecentVersion","KnowledgeAssessmentName","ExamID","QuestionName","CorrectAnswer","QuestionID","TaxonomyURIorName"
"35","c383d71b-444e-4ba3-80a9-624d5244c4aa",1,"Allied: Medical Assistant Assessment",501,"At the conclusion of the exam, the physician has ordered a urine sample for culture to inspect it for bacterial growth. How will the medical assistant carry out this test?","Instruct the patient how to get a clean catch, midstream specimen.","ffb94f1e-8888-4dc8-ab11-00eb3d8cd51c","Medical Assistant"
"36","53fe3057-aa53-4a7a-938b-af51ec0ea425",2,"Allied: Medical Social Worker Assessment",428,"Warning signs of a potentially abusive personality include:","exhibiting controlling and jealous behaviors.","96eb1878-800b-4437-a0a3-2f934b5daae0","HealthStream Assess"
"37","53fe3057-aa53-4a7a-938b-af51ec0ea425",2,"Allied: Medical Social Worker Assessment",428,"_____________is a payment (usually a percentage) shared with an insured member to satisfy a claim.","Coinsurance","c6173c5b-a771-42da-a701-3e22854b8902","HealthStream Assess"
"38","53fe3057-aa53-4a7a-938b-af51ec0ea425",2,"Allied: Medical Social Worker Assessment",428,"The “donut hole” is a term that describes _________________ in prescription drug benefits.","a coverage gap","1d48f783-ae51-4952-b3dd-e72f7c80e7c1","Social Worker"
"39","53fe3057-aa53-4a7a-938b-af51ec0ea425",2,"Allied: Medical Social Worker Assessment",428,"Signs and symptoms of suspected abuse may include:","an injury that seems inconsistent with the history given.","c05b5c14-39d1-4207-8a81-7b63b5e672a8","Allied: Medical Social Worker Assessment"
"40","53fe3057-aa53-4a7a-938b-af51ec0ea425",2,"Allied: Medical Social Worker Assessment",428,"The National Intimate Partner and Sexual Violence Survey (NISVS) indicates that ______of men have experienced severe physical violence by an intimate partner at some point in their lifetimes.
","14%","2563d9e9-e875-4a12-9796-283ab95f2d40","HealthStream Assess"
"41","53fe3057-aa53-4a7a-938b-af51ec0ea425",2,"Allied: Medical Social Worker Assessment",428,"Prioritization of the workload for a medical social worker is important. The medical social worker in a general hospital has just received urgent orders on the following patients. Which patient should be seen first?","14-month-old with a femur fracture who is awaiting admission and is currently in the emergency room.","4ab33af4-7b48-4cba-b908-bbc3da5abd16","Social Worker"
"42","53fe3057-aa53-4a7a-938b-af51ec0ea425",2,"Allied: Medical Social Worker Assessment",428,"In a task-centered treatment approach, once a medical social worker establishes the patient’s needs, which of the following is the best option?","The patient, the social worker, and the hospitalist should jointly establish the discharge goals.","482754e3-b8c4-4130-ab44-de40f9a0c0be","Allied: Medical Social Worker Assessment"
"43","904cfd16-2758-466c-8b11-d6ad62bb19e4",1,"Allied: Pharmacy Technician: Hospital Assessment",288,"A prescription for cough syrup reads 2.5 mL PO Q4H PRN. What should the pharmacy technician print on the label for the prescription bottle?","Take a half teaspoonful by mouth every four hours as needed.","6c7ef06b-ad8f-4535-a2d1-703ffaa73abf","Pharmacy Technician"
"44","904cfd16-2758-466c-8b11-d6ad62bb19e4",1,"Allied: Pharmacy Technician: Hospital Assessment",288,"Which regulatory agency would initiate a Class II recall on a prescription drug?","FDA","82d396cd-7360-48bb-9a74-913f9e433333","Hospital"
"45","904cfd16-2758-466c-8b11-d6ad62bb19e4",1,"Allied: Pharmacy Technician: Hospital Assessment",288,"A prescription for cough syrup reads 2.5 mL PO Q4H PRN. What should the pharmacy technician print on the label for the prescription bottle?","Take a half teaspoonful by mouth every four hours as needed.","c3580fd5-d956-4880-8970-15069440b7db","Hospital"
"46","904cfd16-2758-466c-8b11-d6ad62bb19e4",1,"Allied: Pharmacy Technician: Hospital Assessment",288,"Which regulatory agency would initiate a Class II recall on a prescription drug?","FDA","79d80ee8-3ce9-46f3-bd5e-d595c5ea0f48","Pharmacy Technician"
"47","904cfd16-2758-466c-8b11-d6ad62bb19e4",1,"Allied: Pharmacy Technician: Hospital Assessment",288,"APAP is the abbreviation for:","acetaminophen.","a6fecead-8817-4432-baa6-8a5964f79ece","Pharmacy Aide"
"48","904cfd16-2758-466c-8b11-d6ad62bb19e4",1,"Allied: Pharmacy Technician: Hospital Assessment",288,"Which of the following federal acts enacted in 1996 was designed, in part, to provide privacy standards protecting patients&#39; medical records and other health information from unintended disclosure to persons not involved in the care of the patient?","Health Insurance Portability and Accountability Act (HIPAA)","f16be7f4-5444-4597-9af0-a05aaf978c9c","Pharmacy Aide"
"49","904cfd16-2758-466c-8b11-d6ad62bb19e4",1,"Allied: Pharmacy Technician: Hospital Assessment",288,"The pharmacy technician receives a prescription with the following sig: Protonix 40 mg 2 tabs PO daily X 10 D. How many tablets are needed to fill this order?","20","0617ab7c-855d-43b7-9f1a-e28343896fb6","Pharmacy Aide"
"50","c7fd554e-78f4-47a7-ac3d-7abcef0af7a7",1,"Allied: Surgical Technologist Assessment",505,"The appropriate size of suture to use for aortic anastomosis is:","5-0.","bcabb79a-fe4f-4f6c-81ea-94fc5af025f5","Surgery"
"51","c7fd554e-78f4-47a7-ac3d-7abcef0af7a7",1,"Allied: Surgical Technologist Assessment",505,"All medications and solutions on the sterile field must be:","labeled.","070ce410-29ef-4492-b2db-885d3ecd009a","Surgical Technologist"
"52","c7fd554e-78f4-47a7-ac3d-7abcef0af7a7",1,"Allied: Surgical Technologist Assessment",505,"The appropriate size of suture to use for aortic anastomosis is:","5-0.","9d57f9a3-b287-4b14-9943-086269b6efc5","Surgical Technologist"
"53","c7fd554e-78f4-47a7-ac3d-7abcef0af7a7",1,"Allied: Surgical Technologist Assessment",505,"Fundal pressure should be applied during a cesarean section by:","gently pushing on the upper abdomen.","c8b06e2e-1d02-45b2-9322-b7eaacc22527","Surgical Assistant"
"54","c7fd554e-78f4-47a7-ac3d-7abcef0af7a7",1,"Allied: Surgical Technologist Assessment",505,"The application for Babcock clamps is _________ tissue.","intestinal","3bc4fd35-44c6-4a4d-85f0-d8b16e347d84","Surgery"
"55","c7fd554e-78f4-47a7-ac3d-7abcef0af7a7",1,"Allied: Surgical Technologist Assessment",505,"Surgical smoke is a hazardous material containing dangerous airborne particulates that is produced with the use of:","electrosurgical cautery.","7f75f287-8901-4d48-831c-ad2a44ccdf11","Surgical Assistant"
"56","c7fd554e-78f4-47a7-ac3d-7abcef0af7a7",1,"Allied: Surgical Technologist Assessment",505,"An abnormal tract between two epithelium-lined surfaces that is open at both ends is:","a fistula.","e4e11ff7-3b79-4ff9-8ae6-999ccb45bb71","Surgical Assistant"
"57","72864d5c-c90a-4220-8c86-5bd105e4aa01",1,"Cardiac Rhythm Identification - Basic Assessment",421,"<img width='900'  border='0' src='http://www.healthstream.com/content/nursecompetency/Rhythms/VTach.jpg' />","Ventricular tachycardia","c1a97bf9-9b71-40ef-a06a-6a5a0c2d3eb2","Cardiac Rhythms"
"58","72864d5c-c90a-4220-8c86-5bd105e4aa01",1,"Cardiac Rhythm Identification - Basic Assessment",421,"<img width='900'  border='0' src='http://www.healthstream.com/content/nursecompetency/Rhythms/PATs.jpg' />","Paroxysmal atrial tachycardia (PAT)","586b7d81-50b5-4005-b9d2-afaabd1e441e","Cardiac Rhythms"
"59","72864d5c-c90a-4220-8c86-5bd105e4aa01",1,"Cardiac Rhythm Identification - Basic Assessment",421,"<img width='900'  border='0' src='http://www.healthstream.com/content/nursecompetency/Rhythms/RBB.jpg' />","Right bundle branch block","e877b58c-da38-4209-9ea0-3d3d744f9d61","Cardiac Rhythms"
"60","72864d5c-c90a-4220-8c86-5bd105e4aa01",1,"Cardiac Rhythm Identification - Basic Assessment",421,"<img width='900'  border='0' src='http://www.healthstream.com/content/nursecompetency/Rhythms/Torsades.jpg' />","Torsades de pointes","061c8192-87c1-473d-bd10-9fcce87a12ba","Cardiac Rhythms"
"61","72864d5c-c90a-4220-8c86-5bd105e4aa01",1,"Cardiac Rhythm Identification - Basic Assessment",421,"<img width='900'  border='0' src='http://www.healthstream.com/content/nursecompetency/Rhythms/Asystole.jpg' />","Asystole","c6a4fc48-48a1-4e1b-b473-8e3c757c5be8","Cardiac Rhythms"
"62","72864d5c-c90a-4220-8c86-5bd105e4aa01",1,"Cardiac Rhythm Identification - Basic Assessment",421,"<img width='900'  border='0' src='http://www.healthstream.com/content/nursecompetency/Rhythms/wenkeback.jpg' />","Second-degree atrioventricular (AV) block (Wenckebach)","f3f6c22f-bb17-4591-8d1b-535dcca01d92","Cardiac Rhythms"
"63","72864d5c-c90a-4220-8c86-5bd105e4aa01",1,"Cardiac Rhythm Identification - Basic Assessment",421,"<img width='900'  border='0' src='http://www.healthstream.com/content/nursecompetency/Rhythms/NSRcPJC.jpg' />","Sinus rhythm with premature junctional complex","b5909a8a-bc85-4a82-a673-bf76f06ee767","Cardiac Rhythms"
"64","a6a89ed1-990b-4536-a4e9-271e38f871ac",1,"CNA: Certified Nursing Assistant Assessment",210,"In which of the following situations would the CNA use the abdominal thrust maneuver?","A blocked airway","40d420d5-914d-4514-a7b3-45abaf457ec2","Nursing Assistant - CNA"
"65","a6a89ed1-990b-4536-a4e9-271e38f871ac",2,"CNA: Certified Nursing Assistant Assessment",210,"When the CNA is caring for an agitated patient, what should (s)he do?","Talk in a slow, calm, reassuring manner.","a45b061b-2bfe-4ce7-b9f9-5c317dfaf4ed","Nursing Assistant - CNA"
"66","a6a89ed1-990b-4536-a4e9-271e38f871ac",2,"CNA: Certified Nursing Assistant Assessment",210,"Which of the following measures will help to prevent the development of pressure ulcers on a bed-bound patient?","Reposition the patient at least every 2 hours to reduce exposure to pressure.","f025fd34-d5bd-490f-ae93-caa29be45efe","HealthStream Assess"
"67","a6a89ed1-990b-4536-a4e9-271e38f871ac",2,"CNA: Certified Nursing Assistant Assessment",210,"There is a sign on a patient’s door that states “NPO p MN”. What does this mean?","Nothing by mouth after midnight.","f912741a-cb81-46c9-93ec-a47b94df97b4","HealthStream Assess"
"68","a6a89ed1-990b-4536-a4e9-271e38f871ac",2,"CNA: Certified Nursing Assistant Assessment",210,"Where should the urinary drainage bag (Foley bag) be kept?","Below the level of the patient’s bladder","1615d35c-c6a5-412d-9225-5bf876792db6","Nursing Assistant - CNA"
"69","a6a89ed1-990b-4536-a4e9-271e38f871ac",1,"CNA: Certified Nursing Assistant Assessment",210,"A patient tells the CNA that she is in pain. What should the CNA do?","Report it to the patient's nurse.","f4039a7f-9767-417c-8501-a8af93274ca6","Nursing Assistant - CNA"
"70","a6a89ed1-990b-4536-a4e9-271e38f871ac",2,"CNA: Certified Nursing Assistant Assessment",210,"What is the name of any device used to take the place of a missing body part?","Prosthesis","d8bbdf51-6495-4bdf-9fad-d1b8d3a3be73","CNA: Certified Nursing Assistant Assessment"
"71","fcac8de3-1cf1-4f55-80c7-311c445ae49c",1,"Fetal Monitoring Assessment",225,"What is the interpretation of the FHR tracing in Question #18?","Baseline 185, minimal variability","8f4cb57b-3d5e-4682-a168-569012e6dc3e","Obstetric Care"
"72","fcac8de3-1cf1-4f55-80c7-311c445ae49c",1,"Fetal Monitoring Assessment",225,"What type of FHR deceleration lasts more than 2 minutes and less than 10 minutes?","Prolonged deceleration","8ae3ac45-cdbb-47da-af8a-37d784325211","Nursing: Registered Nurse - RN"
"73","fcac8de3-1cf1-4f55-80c7-311c445ae49c",1,"Fetal Monitoring Assessment",225,"<img src='http://www.healthstream.com/content/nursecompetency/FetalMonitoring/4.jpg' border='0' /> <br/>What would be the most appropriate response to the tracing seen above?","Continue monitoring.","a2c02f1c-0dbb-424e-9c7b-8948a490b548","Nursing: Registered Nurse - RN"
"74","fcac8de3-1cf1-4f55-80c7-311c445ae49c",1,"Fetal Monitoring Assessment",225,"<img src='http://www.healthstream.com/content/nursecompetency/FetalMonitoring/4.jpg' border='0' /> <br/>What would be the most appropriate response to the tracing seen above?","Continue monitoring.","8c500032-0928-4473-9ad0-53102e9ba394","Obstetric Care"
"75","fcac8de3-1cf1-4f55-80c7-311c445ae49c",1,"Fetal Monitoring Assessment",225,"The steps of intrauterine resuscitation were performed by the nurse. When the provider came to see the patient again, he was given a full report, yet he wanted the oxytocin infusion restarted. What should be the nurse’s next action?","Discuss the concern about restarting the medication directly with the provider.","1aaa4854-f1b7-43a2-93f1-63bc21f5147e","Obstetric Care"
"76","fcac8de3-1cf1-4f55-80c7-311c445ae49c",1,"Fetal Monitoring Assessment",225,"Which of the following could potentially explain the FHR pattern in Question #18?","PROM, 39 weeks, Temperature 101°","648f2071-e84a-43e1-bbe7-edfc485a6f01","Labor and Delivery"
"77","fcac8de3-1cf1-4f55-80c7-311c445ae49c",1,"Fetal Monitoring Assessment",225,"<img src='http://www.healthstream.com/content/nursecompetency/FetalMonitoring/2.jpg' border='0' /> <br/>The patient with the above FHR tracing is 31 weeks pregnant and comes to the hospital complaining of “leaking fluid” for the past 24 hours. Her vital signs are: Temperature: 99.8, Pulse: 100, R: 24, BP: 102/54. She also complains of abdominal pain and some nausea. What is your initial interpretation of this tracing?","FHR baseline 180, minimal variability, late decelerations","bc5afa22-2e08-469a-8986-2e525bdcf737","Obstetric Care"
"78","af86d3d8-27ff-4213-b478-82b2fa34a088",2,"Lab: Cytotechnologist Assessment",414,"A liquid-based Pap test of a pregnant 30-year-old female presented with boat-shaped cells containing yellow-colored clearing of the cytoplasm. There is no nuclear enlargement or hyperchromasia. These glycogenated or navicular cells are often misinterpreted as:","koilocytes.","f8b915af-77cf-4574-a0c8-223cee0ec71a","Cytogenetic Technologist"
"79","af86d3d8-27ff-4213-b478-82b2fa34a088",1,"Lab: Cytotechnologist Assessment",414,"A Pap test was obtained from a 75-year-old female with a history of squamous cell carcinoma of the cervix. Cytologic findings revealed cytomegaly and karyomegaly with a normal nuclear to cytoplasmic (N/C) ratio. Changes in the nucleus and cytoplasm include degeneration, vacuolization, smudging, variation in nuclear size and shape with binucleation and multinucleation; polychromasia staining of the cytoplasm is also present. The cytologic interpretation most consistent with these findings is:","radiation changes.","9dd421fe-f63b-45a3-8466-d8945a1a7913","Cytotechnologist"
"80","af86d3d8-27ff-4213-b478-82b2fa34a088",2,"Lab: Cytotechnologist Assessment",414,"A 56-year-old male presented with a hilar mass. A fine needle aspiration was performed; cells showed the following cytomorphological features: large atypical oval to polygonal cells, dense cytoplasm, centrally placed nuclei, and some keratinization with inflammatory and necrotic background. The nuclei are large and very pyknotic.  What is the most likely diagnosis?","Squamous cell carcinoma","41b93e79-875c-4973-b0df-0408d27f944d","Diagnostic Tests"
"81","af86d3d8-27ff-4213-b478-82b2fa34a088",1,"Lab: Cytotechnologist Assessment",414,"A slide shows highly atypical discohesive cells, often singly with eccentric nuclei, prominent nucleoli, nuclear pseudoinclusions, plasmacytoid cells, and golden brown pigment within a dusty cytoplasm. These cellular features are diagnostic of:","metastatic melanoma.","a02983af-3333-4458-9925-ccc8b8f8f3b7","Cytotechnologist"
"82","af86d3d8-27ff-4213-b478-82b2fa34a088",1,"Lab: Cytotechnologist Assessment",414,"A 45-year-old female presented with multiple thyroid nodules. An ultrasound scan revealed a cold nodule measuring 1 cm. A fine needle aspiration was performed which yielded hypocellular aspirates with a few groups of large, flat, evenly spaced follicular cells with pale finely granular chromatin. However, there was a large amount of pink, green, and magenta thick myxoid matrix in the background of the slides. There the matrix exhibits cracking and rouleaux formation. This material most likely is:","colloid.","34b1cce8-375c-4ef4-a99c-18e23a4ab92b","Cytotechnologist"
"83","af86d3d8-27ff-4213-b478-82b2fa34a088",2,"Lab: Cytotechnologist Assessment",414,"The advantages of human papilloma virus (HPV) testing include:","increased sensitivity for endocervical adenocarcinoma.","c3fb8145-87a2-4923-8a13-37b30aa916cf","Cytotechnologist"
"84","af86d3d8-27ff-4213-b478-82b2fa34a088",2,"Lab: Cytotechnologist Assessment",414,"A 48-year-old male presented with a history of cough and hemoptysis. Radiologic findings revealed a 3 cm lung mass. A fine needle aspiration of the lung mass revealed solid clusters of atypical round to oval cells with a high nuclear to cytoplasmic (N/C) ratio, pale and vacuolated cytoplasm, eccentric nuclei, and prominent nucleoli. What is the most likely diagnosis?","Adenocarcinoma","91b417a3-394a-4585-858c-a9f3c0e5d224","Diagnostic Tests"
"85","2d9d100a-6275-4955-bb5e-07baba91b6c9",1,"Lab: Histotechnologist Assessment",296,"Which of the following would be the most likely cause of a split or lengthwise scratch through a paraffin section or a ribbon occurring during routine microtomy?","Debris on the knife edge","9c71b4d2-396c-42be-a810-4e8f353c0d2b","Histotechnologists and Histologic Technician"
"86","2d9d100a-6275-4955-bb5e-07baba91b6c9",2,"Lab: Histotechnologist Assessment",296,"The term _____________ is used to describe the chelation complex formed by a dye with a metal mordant.","dye lake","ca9fc71d-e3f5-4e45-9589-1727ce118d1a","HealthStream Assess"
"87","2d9d100a-6275-4955-bb5e-07baba91b6c9",1,"Lab: Histotechnologist Assessment",296,"In the colloidal iron special staining technique, a suspension of ferric hydroxide is utilized to impregnate tissue with iron ions. The sites of iron impregnation are visualized in the tissue section by which of the following reactions?","Prussian blue reaction","a111bddb-a244-4b0c-b903-38446f79503a","Laboratory"
